Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Kids,Status,Family_size,Expenses,Total_Purchases,Engaged_in_days,TotalAcceptedCmp,AmountPerPurchase
1949,Master,Relationship,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,74,1,2,3,1782,26,3766 days 14:46:24.812721,1,68.53846153846153
1985,Master,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,38,1,1,2,133,8,3911 days 14:46:24.812721,0,16.625
1982,Graduation,Relationship,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,41,0,2,2,316,12,3998 days 14:46:24.812721,0,26.333333333333332
1979,Graduation,Relationship,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,44,1,2,3,1730,43,3847 days 14:46:24.812721,0,40.23255813953488
1949,PhD,Relationship,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,74,1,2,3,972,17,3861 days 14:46:24.812721,1,57.1764705882353
1954,PhD,Relationship,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,69,1,2,3,544,20,3477 days 14:46:24.812721,0,27.2
1951,Graduation,Relationship,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,72,1,2,3,444,20,3776 days 14:46:24.812721,0,22.2
1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,54,0,1,1,75,8,3851 days 14:46:24.812721,0,9.375
1976,Graduation,Relationship,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,47,2,2,4,257,14,3706 days 14:46:24.812721,0,18.357142857142858
1986,Graduation,Single,51315.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,37,1,1,2,637,27,3802 days 14:46:24.812721,0,23.59259259259259
1989,Graduation,Relationship,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,34,1,2,3,131,9,3702 days 14:46:24.812721,0,14.555555555555555
1965,PhD,Relationship,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,58,0,2,2,1672,26,3527 days 14:46:24.812721,1,64.3076923076923
1989,Master,Single,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,34,0,1,1,30,8,3346 days 14:46:24.812721,0,3.75
1963,Master,Relationship,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,0,2,2,318,11,3722 days 14:46:24.812721,0,28.90909090909091
1970,Graduation,Relationship,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,53,1,2,3,120,9,3935 days 14:46:24.812721,1,13.333333333333334
1952,PhD,Single,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,71,2,1,3,302,17,3916 days 14:46:24.812721,1,17.764705882352942
1946,Master,Relationship,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,77,0,2,2,1196,18,3802 days 14:46:24.812721,0,66.44444444444444
1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,72,2,1,3,65,6,3612 days 14:46:24.812721,0,10.833333333333334
1970,PhD,Relationship,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,53,1,2,3,913,28,3488 days 14:46:24.812721,0,32.607142857142854
1976,Master,Relationship,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,47,1,2,3,81,9,3608 days 14:46:24.812721,0,9.0
1973,Graduation,Single,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,50,1,1,2,67,7,3446 days 14:46:24.812721,0,9.571428571428571
1943,PhD,Single,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,80,0,1,1,902,24,3821 days 14:46:24.812721,2,37.583333333333336
1980,Graduation,Relationship,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,43,1,2,3,1395,21,3734 days 14:46:24.812721,0,66.42857142857143
1985,Master,Relationship,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,38,1,2,3,53,7,3782 days 14:46:24.812721,0,7.571428571428571
1957,Graduation,Relationship,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,66,1,2,3,22,4,3860 days 14:46:24.812721,0,5.5
1959,PhD,Single,51315.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,64,0,1,1,186,9,3544 days 14:46:24.812721,0,20.666666666666668
1975,Master,Relationship,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,48,1,2,3,31,8,3578 days 14:46:24.812721,0,3.875
1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,47,0,1,1,984,16,3309 days 14:46:24.812721,0,61.5
1996,Master,Relationship,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,27,0,2,2,122,10,3905 days 14:46:24.812721,1,12.2
1968,Graduation,Relationship,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,1,2,3,55,5,3709 days 14:46:24.812721,0,11.0
1951,Graduation,Single,51315.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,72,3,1,4,124,10,3487 days 14:46:24.812721,0,12.4
1954,PhD,Relationship,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,69,2,2,4,1319,28,3906 days 14:46:24.812721,0,47.107142857142854
1957,Graduation,Single,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,66,1,1,2,507,17,3356 days 14:46:24.812721,0,29.823529411764707
1964,Master,Relationship,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,59,0,2,2,1693,29,3995 days 14:46:24.812721,0,58.37931034482759
1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,46,1,1,2,72,7,3851 days 14:46:24.812721,0,10.285714285714286
1977,Graduation,Single,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,46,0,1,1,1617,21,3330 days 14:46:24.812721,3,77.0
1978,Graduation,Relationship,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,45,2,2,4,606,23,3690 days 14:46:24.812721,0,26.347826086956523
1955,Master,Relationship,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,68,0,2,2,1957,27,3895 days 14:46:24.812721,2,72.48148148148148
1966,Graduation,Single,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,57,0,1,1,1093,21,3761 days 14:46:24.812721,1,52.04761904761905
1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,35,1,1,2,29,6,3370 days 14:46:24.812721,0,4.833333333333333
1982,Graduation,Single,51315.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,41,1,1,2,46,7,3685 days 14:46:24.812721,0,6.571428571428571
1968,PhD,Relationship,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,55,1,2,3,518,19,3426 days 14:46:24.812721,0,27.263157894736842
1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,41,0,1,1,1438,21,3668 days 14:46:24.812721,3,68.47619047619048
1975,Graduation,Relationship,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,48,2,2,4,612,22,3968 days 14:46:24.812721,0,27.818181818181817
1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,71,1,1,2,884,24,3804 days 14:46:24.812721,0,36.833333333333336
1951,PhD,Single,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,72,1,1,2,606,19,3691 days 14:46:24.812721,0,31.894736842105264
1948,Graduation,Relationship,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,75,0,2,2,1076,16,3513 days 14:46:24.812721,0,67.25
1971,Graduation,Relationship,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,52,1,2,3,34,5,3712 days 14:46:24.812721,1,6.8
1967,Graduation,Relationship,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,56,2,2,4,11,4,3357 days 14:46:24.812721,0,2.75
1979,Master,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,44,1,1,2,1274,32,3410 days 14:46:24.812721,3,39.8125
1958,Graduation,Relationship,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,65,1,2,3,653,18,3583 days 14:46:24.812721,0,36.27777777777778
1970,Graduation,Relationship,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,53,3,2,5,1562,19,3755 days 14:46:24.812721,0,82.21052631578948
1954,Master,Relationship,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,69,0,2,2,1253,21,3964 days 14:46:24.812721,0,59.666666666666664
1973,Master,Relationship,51315.0,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,50,1,2,3,109,9,3961 days 14:46:24.812721,0,12.11111111111111
1959,Graduation,Relationship,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,64,1,2,3,863,30,3777 days 14:46:24.812721,0,28.766666666666666
1975,PhD,Relationship,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,48,2,2,4,661,24,3758 days 14:46:24.812721,1,27.541666666666668
1952,Graduation,Relationship,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,71,0,2,2,65,8,3368 days 14:46:24.812721,0,8.125
1977,Graduation,Single,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,46,1,1,2,13,4,3865 days 14:46:24.812721,0,3.25
1972,Master,Relationship,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,51,0,2,2,1890,19,3979 days 14:46:24.812721,1,99.47368421052632
1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,47,0,1,1,2209,22,3933 days 14:46:24.812721,2,100.4090909090909
1976,Master,Relationship,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,47,0,2,2,18,4,3606 days 14:46:24.812721,0,4.5
1965,Graduation,Relationship,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,58,0,2,2,692,21,3851 days 14:46:24.812721,2,32.95238095238095
1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,38,1,1,2,165,12,3977 days 14:46:24.812721,0,13.75
1969,Graduation,Relationship,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,54,1,2,3,16,4,3679 days 14:46:24.812721,0,4.0
1973,Master,Relationship,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,50,1,2,3,79,9,3669 days 14:46:24.812721,0,8.777777777777779
1963,Master,Relationship,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,0,2,2,318,11,3722 days 14:46:24.812721,0,28.90909090909091
1987,Graduation,Single,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,36,0,1,1,778,27,3432 days 14:46:24.812721,0,28.814814814814813
1960,Graduation,Relationship,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,63,2,2,4,56,7,3630 days 14:46:24.812721,0,8.0
1970,Master,Relationship,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,53,2,2,4,151,13,3656 days 14:46:24.812721,1,11.615384615384615
1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,66,1,1,2,372,17,3340 days 14:46:24.812721,3,21.88235294117647
1973,Graduation,Relationship,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,50,0,2,2,1366,19,3356 days 14:46:24.812721,1,71.89473684210526
1967,Graduation,Relationship,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,56,1,2,3,194,10,3467 days 14:46:24.812721,0,19.4
1957,PhD,Relationship,51315.0,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,66,3,2,5,603,29,3895 days 14:46:24.812721,0,20.79310344827586
1957,Graduation,Single,51315.0,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,66,2,1,3,18,4,3341 days 14:46:24.812721,0,4.5
1973,Master,Relationship,51315.0,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,50,0,2,2,985,15,3526 days 14:46:24.812721,0,65.66666666666667
1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,51,1,1,2,32,5,3406 days 14:46:24.812721,0,6.4
1970,PhD,Relationship,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,53,1,2,3,43,10,3344 days 14:46:24.812721,0,4.3
1983,Graduation,Relationship,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,40,1,2,3,45,6,3346 days 14:46:24.812721,0,7.5
1960,Graduation,Single,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,63,1,1,2,606,22,3892 days 14:46:24.812721,1,27.545454545454547
1972,Graduation,Single,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,51,2,1,3,63,7,3752 days 14:46:24.812721,0,9.0
1951,Master,Relationship,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,72,0,2,2,978,25,3518 days 14:46:24.812721,1,39.12
1983,PhD,Relationship,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,40,0,2,2,410,16,3682 days 14:46:24.812721,0,25.625
1960,Master,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,63,1,1,2,72,7,3649 days 14:46:24.812721,0,10.285714285714286
1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,64,1,1,2,55,7,3399 days 14:46:24.812721,0,7.857142857142857
1979,Graduation,Relationship,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,44,1,2,3,1169,27,3743 days 14:46:24.812721,0,43.2962962962963
1945,PhD,Relationship,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,78,0,2,2,1120,16,3716 days 14:46:24.812721,0,70.0
1959,Graduation,Relationship,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,64,0,2,2,1097,20,3360 days 14:46:24.812721,1,54.85
1979,Basic,Relationship,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,44,1,2,3,29,5,3509 days 14:46:24.812721,0,5.8
1964,Graduation,Relationship,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,59,2,2,4,187,13,3586 days 14:46:24.812721,0,14.384615384615385
1969,Graduation,Relationship,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,54,2,2,4,910,26,3820 days 14:46:24.812721,0,35.0
1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,45,1,1,2,145,9,3865 days 14:46:24.812721,0,16.11111111111111
1960,Master,Relationship,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,63,0,2,2,850,14,3877 days 14:46:24.812721,0,60.714285714285715
1979,Graduation,Relationship,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,44,1,2,3,969,24,3547 days 14:46:24.812721,0,40.375
1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,32,0,1,1,1820,17,3904 days 14:46:24.812721,2,107.05882352941177
1963,Master,Relationship,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,60,1,2,3,608,20,3312 days 14:46:24.812721,1,30.4
1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,32,0,1,1,730,25,3851 days 14:46:24.812721,3,29.2
1980,PhD,Relationship,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,43,1,2,3,551,21,3872 days 14:46:24.812721,0,26.238095238095237
1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,61,2,1,3,114,8,3600 days 14:46:24.812721,0,14.25
1970,Graduation,Relationship,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,53,0,2,2,1724,15,3464 days 14:46:24.812721,2,114.93333333333334
1978,Master,Relationship,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,45,1,2,3,577,20,3803 days 14:46:24.812721,0,28.85
1967,Master,Relationship,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,56,2,2,4,81,7,3661 days 14:46:24.812721,0,11.571428571428571
1969,Graduation,Relationship,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,54,1,2,3,33,7,3535 days 14:46:24.812721,0,4.714285714285714
1953,Master,Relationship,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,70,1,2,3,660,22,3682 days 14:46:24.812721,0,30.0
1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,56,1,1,2,80,9,3433 days 14:46:24.812721,1,8.88888888888889
1985,Master,Relationship,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,38,2,2,4,30,6,3606 days 14:46:24.812721,0,5.0
1976,Graduation,Single,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,47,1,1,2,43,5,3741 days 14:46:24.812721,0,8.6
1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,40,0,1,1,1135,27,3782 days 14:46:24.812721,4,42.03703703703704
1965,Master,Relationship,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,58,0,2,2,559,16,3804 days 14:46:24.812721,0,34.9375
1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,39,0,1,1,1923,16,3742 days 14:46:24.812721,1,120.1875
1953,Master,Relationship,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,70,2,2,4,90,8,3329 days 14:46:24.812721,0,11.25
1961,PhD,Relationship,51315.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,62,1,2,3,404,17,3661 days 14:46:24.812721,0,23.764705882352942
1956,PhD,Relationship,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,67,2,2,4,661,23,3358 days 14:46:24.812721,0,28.73913043478261
1952,Graduation,Relationship,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,71,1,2,3,463,19,3580 days 14:46:24.812721,0,24.36842105263158
1958,Master,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,65,2,1,3,632,23,3784 days 14:46:24.812721,0,27.47826086956522
1969,Graduation,Relationship,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,54,0,2,2,725,19,3447 days 14:46:24.812721,0,38.1578947368421
1963,Graduation,Relationship,51315.0,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,60,1,2,3,725,19,3630 days 14:46:24.812721,0,38.1578947368421
